cdc_table,cdc_op,cdc_ts,cdc_seq,customer_id,customer_name,country,created_at
erp_customers,I,2022-03-15,1,CUST-00201,Parsons and Sons,,2022-03-15
erp_customers,U,2022-10-22,2,CUST-00201,Parsons and Sons,DE,2022-03-15
erp_customers,I,2021-11-26,1,CUST-00299,Brooks and Sons,India,2021-11-26
erp_customers,U,2021-12-09,2,CUST-00299,Brooks and Sons,Canada,2021-11-26
erp_customers,D,2022-10-21,3,CUST-00299,Brooks and Sons,Canada,2021-11-26
erp_customers,I,2022-02-14,1,CUST-00692,Yang PLC,,2022-02-14
erp_customers,I,2022-03-04,1,CUST-00789,Meyers and Sons,Canada,2022-03-04
erp_customers,U,2022-08-01,2,CUST-00789,Meyers and Sons,United States,2022-03-04
erp_customers,I,2021-01-22,1,CUST-01186,Reyes-Stewart,DE,2021-01-22
erp_customers,I,2021-02-09,1,CUST-01608,Syndicate Innovative Web-Readiness,USA,2021-02-09
erp_customers,I,2022-10-11,1,CUST-01729,Orchestrate Visionary E-Markets,US,2022-10-11
erp_customers,I,2022-06-20,1,CUST-01809,Brand Synergistic Networks,Iceland,2022-06-20
erp_customers,U,2023-02-02,2,CUST-01809,Palmer Group,Iceland,2022-06-20
erp_customers,I,2021-09-26,1,CUST-01991,Iterate Killer E-Markets,DE,2021-09-26
erp_customers,I,2022-07-23,1,CUST-02144,Brand Seamless Action-Items,Belgium,2022-07-23
erp_customers,I,2022-06-19,1,CUST-02178,Johnson Inc,United States,2022-06-19
erp_customers,D,2022-09-28,2,CUST-02178,Johnson Inc,United States,2022-06-19
erp_customers,I,2020-03-21,1,CUST-02180,Cervantes PLC,USA,2020-03-21
erp_customers,D,2020-07-10,2,CUST-02180,Cervantes PLC,USA,2020-03-21
erp_customers,I,2021-10-17,1,CUST-02211,Inc Martinez,US,2021-10-17
erp_customers,I,2022-06-04,1,CUST-02216,LLC Carroll,CA,2022-06-04
erp_customers,D,2023-04-27,2,CUST-02216,LLC Carroll,CA,2022-06-04
erp_customers,I,2020-10-25,1,CUST-02220,Cultivate Holistic Channels,Tajikistan,2020-10-25
erp_customers,U,2021-03-26,2,CUST-02220,Inc Ayers,Tajikistan,2020-10-25
erp_customers,I,2022-10-17,1,CUST-02328,Ferguson Group,Martinique,2022-10-17
erp_customers,I,2021-03-18,1,CUST-02336,"Douglas, Sanchez and Stokes",United States,2021-03-18
erp_customers,I,2021-05-23,1,CUST-02424,Morales-Williamson,IND,2021-05-23
erp_customers,I,2021-11-05,1,CUST-02512,Integrate Synergistic Systems,Germany,2021-11-05
erp_customers,D,2022-08-08,2,CUST-02512,Integrate Synergistic Systems,Germany,2021-11-05
erp_customers,I,2022-06-12,1,CUST-02837,Strategize Extensible Synergies,Chile,2022-06-12
erp_customers,D,2023-04-03,2,CUST-02837,Strategize Extensible Synergies,Chile,2022-06-12
erp_customers,I,2021-01-17,1,CUST-03067,Enable One-To-One Markets,USA,2021-01-17
erp_customers,I,2020-04-29,1,CUST-03639,Unleash Integrated Models,IND,2020-04-29
erp_customers,U,2020-06-18,2,CUST-03639,Unleash Integrated Models,Canada,2020-04-29
erp_customers,D,2021-02-23,3,CUST-03639,Unleash Integrated Models,Canada,2020-04-29
erp_customers,I,2021-10-14,1,CUST-03686,Facilitate Interactive Web Services,CA,2021-10-14
erp_customers,I,2022-04-02,1,CUST-04114,PLC Espinoza,Jordan,2022-04-02
erp_customers,I,2022-03-07,1,CUST-04115,Williams-Adams,Canada,2022-03-07
erp_customers,I,2021-09-05,1,CUST-04497,and Sons Smith,Germany,2021-09-05
erp_customers,D,2022-06-20,2,CUST-04497,and Sons Smith,Germany,2021-09-05
erp_customers,I,2021-08-11,1,CUST-04827,Inc Hartman,United States,2021-08-11
erp_customers,U,2021-12-29,2,CUST-04827,Inc Hartman,USA,2021-08-11
erp_customers,I,2020-11-12,1,CUST-05207,Group Moore,Canada,2020-11-12
erp_customers,D,2021-09-05,2,CUST-05207,Group Moore,Canada,2020-11-12
erp_customers,I,2020-07-31,1,CUST-05397,Green-Richard,US,2020-07-31
erp_customers,U,2020-10-31,2,CUST-05397,Green-Richard,United States,2020-07-31
erp_customers,I,2022-10-25,1,CUST-05774,"Edwards, Reed and Martin",DE,2022-10-25
erp_customers,I,2020-02-10,1,CUST-05802,"Johnson, Arellano and Anderson",Canada,2020-02-10
erp_customers,I,2022-02-21,1,CUST-05878,"Baker, Waller and Gonzalez",India,2022-02-21
erp_customers,I,2020-11-20,1,CUST-05966,Brand Proactive Systems,India,2020-11-20
erp_customers,I,2022-11-28,1,CUST-06070,"Gomez, Anderson and Cruz",Montenegro,2022-11-28
erp_customers,I,2022-10-03,1,CUST-06274,"Dean, Gaines and Williams",India,2022-10-03
erp_customers,I,2022-05-15,1,CUST-06371,Group Wells,Uruguay,2022-05-15
erp_customers,I,2022-10-31,1,CUST-06463,Facilitate Compelling Roi,CA,2022-10-31
erp_customers,I,2021-04-15,1,CUST-06572,Inc Flores,CA,2021-04-15
erp_customers,U,2021-10-27,2,CUST-06572,Inc Flores,United States,2021-04-15
erp_customers,I,2020-06-29,1,CUST-06606,"Fields, Holmes and Weber",US,2020-06-29
erp_customers,U,2021-05-24,2,CUST-06606,"Fields, Holmes and Weber",USA,2020-06-29
erp_customers,I,2020-11-01,1,CUST-07939,E-Enable Cutting-Edge Convergence,China,2020-11-01
erp_customers,I,2021-09-30,1,CUST-08182,Ltd Morris,CA,2021-09-30
erp_customers,U,2021-12-10,2,CUST-08182,Transition Compelling Architectures,CA,2021-09-30
erp_customers,I,2021-07-25,1,CUST-08198,and Sons Ramirez,DE,2021-07-25
erp_customers,I,2020-04-02,1,CUST-08239,Unleash Seamless E-Business,USA,2020-04-02
erp_customers,U,2021-02-22,2,CUST-08239,Unleash Seamless E-Business,Germany,2020-04-02
erp_customers,I,2020-02-22,1,CUST-08313,Drive Collaborative Architectures,,2020-02-22
erp_customers,U,2020-11-02,2,CUST-08313,Transition Value-Added Technologies,,2020-02-22
erp_customers,I,2020-11-04,1,CUST-08428,PLC Hines,,2020-11-04
erp_customers,D,2021-10-27,2,CUST-08428,PLC Hines,,2020-11-04
erp_customers,I,2022-11-24,1,CUST-08489,Disintermediate Extensible Web-Readiness,DE,2022-11-24
erp_customers,U,2023-02-02,2,CUST-08489,Barker-Robinson,DE,2022-11-24
erp_customers,I,2020-07-05,1,CUST-08539,Williams LLC,United States,2020-07-05
erp_customers,I,2021-03-04,1,CUST-08623,Incubate Magnetic Channels,US,2021-03-04
erp_customers,U,2021-05-13,2,CUST-08623,Andrade-Garcia,US,2021-03-04
erp_customers,D,2021-11-17,3,CUST-08623,Andrade-Garcia,US,2021-03-04
erp_customers,I,2021-11-04,1,CUST-09366,Implement Bricks-And-Clicks Supply-Chains,Germany,2021-11-04
