product_id,product_name,category,price
PROD69625,AliceBlue People,Software,495.44
PROD27366,LightCyan Morning,Subscription,442.25
PROD75120,Front-line intangible Graphical User Interface,Hardware,164.88
PROD29672,Total static hardware,Consumables,245.25
PROD16234,SandyBrown Company,Subscription,94.04
PROD79051,Profound heuristic data-warehouse,Software,490.05
PROD75699,Persistent empowering success,Hardware,110.74
PROD96960,Proactive didactic Internet solution,Consumables,370.83
PROD37386,Enter,Subscription,377.48
PROD68180,Adaptive bifurcated open architecture,Hardware,302.88
PROD30074,Switchable composite paradigm,Hardware,294.84
PROD11071,Enterprise-wide upward-trending service-desk,Subscription,31.61
PROD71919,LemonChiffon Without,Consumables,275.16
PROD96115,However,Consumables,139.49
PROD51043,Cross-platform 24/7 policy,Service,312.76
PROD52000,Similar,Subscription,146.35
PROD13624,Hear,Consumables,355.72
PROD90951,SteelBlue Back,Subscription,464.04
PROD77543,Extended full-range challenge,Software,351.79
PROD88761,Natural,Subscription,24.07
PROD45665,Republican,Service,201.08
PROD03605,Orange Seek,Consumables,143.57
PROD10285,Deep,Service,177.09
PROD78576,Turquoise Resource,Service,320.04
PROD40623,Adaptive analyzing approach,Service,454.53
PROD04870,Far,Software,255.2
PROD36382,Charge,Software,267.93
PROD83259,MintCream Cold,Subscription,320.27
PROD42122,User-centric upward-trending data-warehouse,Consumables,384.25
PROD38746,Balanced uniform budgetary management,Subscription,388.99
PROD42828,Turquoise Until,Software,182.78
PROD31997,Business-focused impactful standardization,Consumables,215.46
PROD80687,Yourself,Consumables,427.44
PROD79657,Cross-platform solution-oriented collaboration,Software,170.6
PROD26465,Peru Push,Software,312.11
PROD02524,Speech,Hardware,284.53
PROD37924,Lime Well,Subscription,166.74
PROD26372,DeepPink Take,Service,436.67
PROD73643,Yellow Specific,Software,222.85
PROD00307,Western,Service,139.1
PROD05444,Bisque Thus,Service,97.98
PROD99812,DarkSalmon Peace,Hardware,30.12
PROD76488,Simply,Software,496.27
PROD97608,Vision-oriented directional project,Consumables,147.87
PROD62680,Individual,Consumables,341.72
PROD90450,Street,Hardware,345.24
PROD02477,Cross-group empowering solution,Service,254.35
