payment_id,order_ref,payment_date,payment_amount,payment_method
PAY54432,,2020-12-02,2405.05,Bank Transfer
PAY40427,ORD64414,2022-09-21,4163.07,Bank Transfer
PAY56513,ORD31758,2021-11-12,4178.33,Cash
PAY77022,ORD48746,2021-10-14,4761.82,Credit Card
PAY27225,ORD28191,2021-03-31,2046.0,BankTransfer
PAY07396,,2021-05-12,4986.69,Credit Card
PAY31769,ORD73274,2021-10-23,2094.05,CreditCard
PAY72564,ORD10471,2020-04-04,4909.15,CreditCard
PAY80882,ORD45795,2022-07-15,3464.22,CreditCard
PAY30209,ORD50786,2022-12-27,3090.47,Bank Transfer
PAY30087,ORD31109,2020-09-14,3558.49,Bank Transfer
PAY09983,ORD99691,2020-10-28,4343.09,BankTransfer
PAY92924,ORD81322,2020-01-10,2148.78,Credit Card
PAY03455,ORD77745,2022-02-09,3759.31,BankTransfer
PAY88862,ORD66623,2022-06-10,370.57,BankTransfer
PAY58132,ORD47223,2022-10-15,883.01,BankTransfer
PAY76604,ORD25096,2022-05-11,1358.89,Bank Transfer
PAY49008,ORD70276,2022-08-25,4547.75,Credit Card
PAY35935,ORD89784,2021-04-10,1972.98,Bank Transfer
PAY35187,ORD08478,2022-01-27,1537.46,Cash
PAY91163,ORD65061,2020-06-01,3293.73,CreditCard
PAY21508,ORD51097,2020-04-09,4818.78,BankTransfer
PAY74524,ORD74848,2022-05-31,1871.92,Credit Card
PAY77832,ORD57080,2022-04-15,2131.92,Cash
PAY81970,ORD39298,2020-03-20,3552.55,Credit Card
PAY88499,ORD35594,2021-02-01,3236.48,CreditCard
PAY58583,ORD88756,2022-09-09,956.84,Bank Transfer
PAY53596,ORD86035,2022-05-11,1264.97,BankTransfer
PAY54309,ORD99729,2022-01-31,3388.33,Cash
PAY58922,ORD72256,2020-09-02,1660.29,BankTransfer
PAY38945,ORD72007,2020-01-10,3541.39,BankTransfer
PAY79235,ORD13409,2020-08-26,1305.36,CreditCard
PAY10103,ORD98947,2022-08-30,2657.83,Bank Transfer
PAY90429,ORD51325,2020-06-05,1373.09,Bank Transfer
PAY36602,ORD01066,2021-01-15,927.62,Credit Card
PAY61371,ORD29185,2022-10-20,1277.67,Bank Transfer
PAY25644,ORD77670,2021-04-21,1660.51,Credit Card
PAY36000,ORD12830,2020-06-02,4869.39,Bank Transfer
PAY46864,ORD38815,2020-02-02,4077.15,CreditCard
PAY82950,ORD55113,2021-05-16,2616.38,BankTransfer
PAY18342,ORD47340,2021-04-16,1898.79,Cash
PAY41673,ORD46864,2020-09-20,2998.03,Credit Card
PAY45501,,2022-12-03,2813.47,Credit Card
PAY54027,ORD75191,2021-04-08,2515.4,BankTransfer
PAY82775,ORD50129,2021-10-03,4674.69,BankTransfer
PAY45848,ORD50083,2022-01-10,2066.74,Cash
PAY00046,ORD84164,2020-10-22,1079.42,Credit Card
PAY56834,ORD90544,2021-07-02,4692.02,Cash
PAY29625,ORD27216,2021-03-29,366.71,Bank Transfer
PAY27696,ORD73029,2020-01-08,59.69,BankTransfer
