order_id,product_id,quantity,discount_pct
ORD78932,PROD56023,7,0
ORD75044,PROD91780,10,0
ORD11420,PROD67239,6,15
ORD58212,PROD96210,9,10
ORD75598,PROD14486,1,5
ORD72902,PROD11120,6,10
ORD65438,PROD20519,6,0
ORD97474,PROD77641,3,15
ORD81781,PROD09462,7,0
ORD79955,PROD11322,3,0
ORD19452,PROD64794,4,5
ORD41018,PROD38048,4,15
ORD17636,PROD56042,9,15
ORD51425,PROD72217,3,5
ORD24270,PROD29743,6,0
ORD03807,PROD73978,3,0
ORD08080,PROD61676,8,0
ORD59862,PROD90440,3,15
ORD67254,PROD60968,9,10
ORD64737,PROD29214,8,0
ORD35580,PROD38226,4,15
ORD81596,PROD51660,2,5
ORD19877,PROD86361,8,0
ORD87329,PROD27051,7,10
ORD41004,PROD37386,8,10
ORD79216,PROD05148,5,5
ORD69003,PROD53333,8,0
ORD89510,PROD49411,3,0
ORD98496,PROD50492,6,15
ORD70904,PROD76817,1,0
ORD12265,PROD79176,7,15
ORD68638,PROD04012,5,0
ORD87785,PROD51727,2,0
ORD34714,PROD46016,4,0
ORD89468,PROD10961,3,0
ORD90813,PROD58666,6,10
ORD98623,PROD14486,2,0
ORD14748,PROD62223,1,0
ORD86287,PROD07823,8,15
ORD91162,PROD15004,5,0
ORD92402,PROD80687,3,10
ORD00682,PROD63812,2,0
ORD18779,PROD38361,8,0
ORD22485,PROD42122,6,15
ORD23934,PROD99686,7,0
ORD90428,PROD26875,3,0
ORD72864,PROD39123,7,5
ORD31104,PROD19573,3,10
ORD47087,PROD28585,6,10
ORD84952,PROD29897,1,10
ORD31443,PROD44871,2,0
ORD16933,PROD02053,7,5
ORD30482,PROD23673,2,0
ORD64598,PROD83043,1,10
ORD42202,PROD35095,5,15
ORD53739,PROD07236,10,5
ORD31968,PROD57579,10,15
ORD33093,PROD65128,3,0
ORD78733,PROD58479,6,0
ORD41246,PROD57517,6,0
ORD37023,PROD65001,10,0
ORD22987,PROD11484,9,0
ORD30644,PROD11639,9,0
ORD87237,PROD37250,5,0
ORD66221,PROD72838,6,0
ORD26829,PROD37691,4,15
ORD87878,PROD11979,8,0
ORD10078,PROD10285,8,10
ORD04448,PROD10900,8,15
ORD33391,PROD69986,2,15
ORD72711,PROD85223,4,5
ORD28625,PROD84508,7,0
ORD63853,PROD60064,10,5
ORD25506,PROD42165,9,15
ORD74519,PROD09097,3,0
ORD47087,PROD57315,9,10
ORD34748,PROD56023,7,0
ORD54250,PROD61687,5,5
ORD02554,PROD02815,6,5
ORD59747,PROD84905,7,0
ORD67805,PROD67538,6,10
ORD34055,PROD60872,1,5
ORD54215,PROD58791,9,5
ORD93592,PROD58903,8,0
ORD33237,PROD99728,1,0
ORD62359,PROD50089,4,15
ORD51212,PROD57074,10,10
ORD38974,PROD52942,9,0
ORD31078,PROD63569,8,15
ORD92817,PROD85223,1,10
ORD59394,PROD55271,1,5
ORD78555,PROD05774,3,0
ORD63816,PROD56855,9,0
ORD31494,PROD23424,7,0
ORD29770,PROD56562,3,0
ORD96977,PROD62333,4,10
ORD79196,PROD80129,2,5
ORD66590,PROD09939,10,15
ORD82631,PROD46992,1,5
ORD04662,PROD04650,7,0
ORD51681,PROD56945,10,0
ORD70036,PROD95115,3,0
ORD59825,PROD58879,4,5
ORD86413,PROD73423,9,5
ORD99272,PROD40371,3,0
ORD32859,PROD97297,6,5
ORD16666,PROD61504,2,10
ORD15718,PROD62362,4,5
ORD12877,PROD96450,5,5
ORD41015,PROD48048,10,0
ORD62526,PROD97762,9,0
ORD82927,PROD71866,7,0
ORD98084,PROD93117,7,15
ORD82024,PROD32771,8,0
ORD18517,PROD72480,4,0
ORD55004,PROD56193,10,0
ORD32719,PROD29204,9,15
ORD96341,PROD48379,8,0
ORD88813,PROD17411,1,5
ORD88189,PROD03800,5,0
ORD06463,PROD65764,6,0
ORD96893,PROD16279,8,0
ORD33453,PROD08960,8,5
ORD53060,PROD91009,4,10
ORD69375,PROD56193,3,0
ORD74646,PROD26485,5,0
ORD42297,PROD71441,3,5
ORD05532,PROD35006,7,0
ORD45843,PROD04408,7,5
ORD66241,PROD44170,6,15
ORD43470,PROD93882,2,15
ORD63831,PROD61315,6,5
ORD89512,PROD79445,7,0
ORD31997,PROD70099,6,0
ORD75101,PROD48588,7,5
ORD39481,PROD66789,3,15
ORD54514,PROD47176,2,0
ORD40656,PROD63236,7,10
ORD62035,PROD49729,8,0
ORD82631,PROD21979,9,5
ORD11345,PROD11236,6,5
ORD35156,PROD36422,8,0
ORD19615,PROD53198,8,0
ORD25025,PROD92010,1,10
ORD17335,PROD57352,10,10
ORD55799,PROD56945,8,10
ORD65852,PROD14833,4,0
ORD52181,PROD00511,6,0
ORD81227,PROD95405,4,0
ORD24648,PROD30137,3,15
ORD84381,PROD85949,2,0
ORD00033,PROD96115,5,0
ORD55238,PROD70099,9,0
ORD73998,PROD82529,8,0
ORD42339,PROD08152,8,0
ORD52226,PROD76633,10,0
ORD55145,PROD55699,3,10
ORD21260,PROD40226,6,15
ORD02387,PROD60306,6,0
ORD86417,PROD39690,7,0
ORD27558,PROD42122,5,15
ORD65853,PROD15970,9,5
ORD27942,PROD50247,5,10
ORD57896,PROD42006,9,10
ORD04999,PROD41985,2,0
ORD25708,PROD74554,7,10
ORD58820,PROD14680,1,15
ORD03924,PROD44974,10,0
ORD33132,PROD19537,10,15
ORD76919,PROD40231,3,0
ORD78164,PROD83259,2,15
ORD48219,PROD06075,4,0
ORD65691,PROD32857,10,10
ORD96126,PROD71589,1,0
ORD21627,PROD16200,3,5
ORD80722,PROD88507,2,10
ORD96126,PROD04294,5,0
ORD52067,PROD59019,9,0
ORD45430,PROD15696,5,10
ORD82254,PROD13260,8,0
ORD29770,PROD00833,5,0
ORD07077,PROD04416,1,15
ORD19567,PROD95066,6,0
ORD28987,PROD12446,3,0
ORD18558,PROD54731,10,10
ORD77513,PROD52818,10,0
ORD01111,PROD15696,7,5
ORD70498,PROD33517,8,0
ORD15540,PROD92527,10,0
ORD35012,PROD30233,2,0
ORD10212,PROD60064,1,15
ORD97847,PROD00035,5,0
ORD09108,PROD02324,5,0
ORD43446,PROD73195,2,0
ORD76832,PROD61842,9,0
ORD51799,PROD23378,3,0
ORD07508,PROD56265,1,0
ORD95034,PROD63632,1,5
ORD18180,PROD96960,7,5
ORD39979,PROD00767,10,10
ORD15674,PROD85136,4,15
ORD61346,PROD72217,8,10
ORD75328,PROD46016,4,0
ORD27649,PROD90460,8,0
ORD81227,PROD29672,4,5
ORD07910,PROD26893,2,10
ORD66505,PROD33381,8,10
ORD36748,PROD10687,1,0
ORD83457,PROD17941,3,0
ORD48280,PROD48316,10,0
ORD02838,PROD27273,4,15
ORD30919,PROD41985,6,5
ORD66486,PROD97042,4,10
ORD48680,PROD76709,3,15
ORD19935,PROD94970,4,15
ORD75583,PROD10004,4,10
ORD01132,PROD56002,3,0
ORD46097,PROD17166,5,0
ORD59428,PROD67568,4,0
ORD72007,PROD62637,9,0
ORD58329,PROD49443,2,10
ORD30022,PROD39226,6,5
ORD14151,PROD74962,7,0
ORD40072,PROD11120,1,10
ORD97347,PROD38962,3,0
ORD18371,PROD19647,8,15
ORD69151,PROD70837,4,15
ORD53547,PROD71918,4,10
ORD78820,PROD55865,10,0
ORD01253,PROD39139,7,5
ORD36901,PROD36163,3,15
ORD02880,PROD56779,4,10
ORD01554,PROD63945,6,10
ORD73783,PROD92619,4,5
ORD17278,PROD05618,1,5
ORD03200,PROD82988,4,0
ORD82182,PROD99663,3,0
ORD52326,PROD63876,3,0
ORD59626,PROD69331,2,0
ORD80726,PROD38714,2,0
ORD22446,PROD42902,1,10
ORD68998,PROD48980,10,10
ORD31997,PROD59016,2,10
ORD10293,PROD57230,9,5
ORD73862,PROD46100,4,0
ORD61555,PROD44527,9,15
ORD39783,PROD25435,4,15
ORD37322,PROD23087,1,0
ORD86726,PROD84489,1,0
ORD00605,PROD61869,2,0
ORD18006,PROD14445,2,0
ORD87657,PROD98056,2,10
ORD47778,PROD70871,7,0
ORD59825,PROD32577,2,15
ORD93805,PROD85761,4,0
ORD85168,PROD92192,5,15
ORD55372,PROD08314,4,0
ORD98052,PROD95089,8,0
ORD59691,PROD42971,3,15
ORD60517,PROD09068,3,0
ORD77712,PROD65884,6,15
ORD32026,PROD00871,5,15
ORD72100,PROD46992,9,0
ORD82710,PROD10293,1,0
ORD84342,PROD05233,9,0
ORD41657,PROD90063,3,0
ORD09817,PROD10961,10,0
ORD17229,PROD31497,2,5
ORD87677,PROD40868,5,15
ORD76764,PROD97966,5,0
ORD39683,PROD65858,1,5
ORD36028,PROD87146,7,0
ORD88393,PROD87952,1,0
ORD41735,PROD47283,7,5
ORD15391,PROD70567,9,0
ORD38776,PROD69504,5,0
ORD81161,PROD98618,7,0
ORD72864,PROD48421,2,10
ORD57966,PROD86404,6,0
ORD54943,PROD95456,4,5
ORD72229,PROD84199,2,0
ORD18895,PROD58356,4,0
ORD00342,PROD39205,7,0
ORD24998,PROD59589,3,0
ORD78915,PROD14364,9,15
ORD81924,PROD33415,1,10
ORD76156,PROD84248,7,0
ORD42985,PROD63709,3,0
ORD78938,PROD46690,9,0
ORD10212,PROD23072,6,0
ORD34725,PROD33286,4,0
ORD39357,PROD23355,1,0
ORD27431,PROD97857,1,0
ORD93338,PROD75662,5,0
ORD18365,PROD41260,2,5
ORD54737,PROD11628,9,15
ORD36078,PROD60968,3,0
ORD41263,PROD08255,6,0
ORD50939,PROD50542,5,0
ORD88923,PROD98618,4,0
ORD59621,PROD37737,9,15
ORD67260,PROD13504,2,0
ORD43470,PROD46566,5,5
ORD72864,PROD63129,5,0
ORD10664,PROD92761,8,5
ORD49656,PROD31618,2,0
ORD94656,PROD41278,3,15
ORD91890,PROD45538,2,10
ORD31730,PROD26807,10,0
ORD54974,PROD48316,7,10
ORD54332,PROD35008,1,10
ORD27964,PROD49248,7,0
ORD95673,PROD69060,10,5
ORD36289,PROD85343,1,5
ORD27158,PROD65223,1,10
ORD51824,PROD01138,9,0
ORD61026,PROD41363,1,0
ORD29696,PROD02647,4,0
ORD78476,PROD00767,8,0
ORD92937,PROD12271,7,5
ORD92817,PROD22167,7,0
ORD22604,PROD29943,1,15
ORD46026,PROD14288,2,5
ORD01259,PROD97349,1,5
ORD59981,PROD69566,3,15
ORD70204,PROD03653,7,0
ORD69158,PROD95837,1,5
ORD59420,PROD51810,5,10
ORD96920,PROD02647,9,5
ORD23155,PROD90925,5,0
ORD69094,PROD91394,9,15
ORD87973,PROD94507,3,15
ORD54015,PROD10054,8,0
ORD33566,PROD29394,4,0
ORD80133,PROD93422,6,0
ORD82382,PROD05136,7,15
ORD23023,PROD83911,2,0
ORD03924,PROD06554,1,10
ORD68998,PROD34227,3,5
ORD33453,PROD02090,9,15
ORD03566,PROD64333,1,0
ORD12433,PROD84697,6,10
ORD11298,PROD96247,2,0
